Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,063254,2007,09,15.2,Y
IDCJAC0002,063254,2007,10,21.1,Y
IDCJAC0002,063254,2007,11,21.8,Y
IDCJAC0002,063254,2007,12,23.1,Y
IDCJAC0002,063254,2008,01,26.3,Y
IDCJAC0002,063254,2008,02,22.0,Y
IDCJAC0002,063254,2008,03,23.2,Y
IDCJAC0002,063254,2008,04,16.6,Y
IDCJAC0002,063254,2008,05,14.8,Y
IDCJAC0002,063254,2008,06,12.0,Y
IDCJAC0002,063254,2008,07,9.4,Y
IDCJAC0002,063254,2008,08,8.8,Y
IDCJAC0002,063254,2008,09,14.9,Y
IDCJAC0002,063254,2008,10,19.2,Y
IDCJAC0002,063254,2008,11,20.4,Y
IDCJAC0002,063254,2008,12,22.8,Y
IDCJAC0002,063254,2009,01,28.0,Y
IDCJAC0002,063254,2009,02,26.6,Y
IDCJAC0002,063254,2009,03,23.3,Y
IDCJAC0002,063254,2009,04,17.8,Y
IDCJAC0002,063254,2009,05,14.4,Y
IDCJAC0002,063254,2009,06,10.6,Y
IDCJAC0002,063254,2009,07,9.5,Y
IDCJAC0002,063254,2009,08,12.8,Y
IDCJAC0002,063254,2009,09,15.0,Y
IDCJAC0002,063254,2009,10,17.1,Y
IDCJAC0002,063254,2009,11,27.2,Y
IDCJAC0002,063254,2009,12,26.4,Y
IDCJAC0002,063254,2010,01,27.9,Y
IDCJAC0002,063254,2010,02,24.4,Y
IDCJAC0002,063254,2010,03,21.9,Y
IDCJAC0002,063254,2010,04,18.5,Y
IDCJAC0002,063254,2010,05,14.2,Y
IDCJAC0002,063254,2010,06,10.4,Y
IDCJAC0002,063254,2010,07,10.1,Y
IDCJAC0002,063254,2010,08,9.4,Y
IDCJAC0002,063254,2010,09,14.0,Y
IDCJAC0002,063254,2010,10,17.5,Y
IDCJAC0002,063254,2010,11,19.6,Y
IDCJAC0002,063254,2010,12,21.6,Y
IDCJAC0002,063254,2011,01,26.5,Y
IDCJAC0002,063254,2011,02,25.2,Y
IDCJAC0002,063254,2011,03,21.3,Y
IDCJAC0002,063254,2011,04,17.1,Y
IDCJAC0002,063254,2011,05,13.0,Y
IDCJAC0002,063254,2011,06,10.1,Y
IDCJAC0002,063254,2011,07,9.5,Y
IDCJAC0002,063254,2011,08,13.3,Y
IDCJAC0002,063254,2011,09,15.2,Y
IDCJAC0002,063254,2011,10,17.3,Y
IDCJAC0002,063254,2011,11,21.4,Y
IDCJAC0002,063254,2011,12,20.8,Y
IDCJAC0002,063254,2012,01,24.0,Y
IDCJAC0002,063254,2012,02,22.4,Y
IDCJAC0002,063254,2012,03,20.3,Y
IDCJAC0002,063254,2012,04,18.7,Y
IDCJAC0002,063254,2012,05,13.8,Y
IDCJAC0002,063254,2012,06,10.4,Y
IDCJAC0002,063254,2012,07,10.1,Y
IDCJAC0002,063254,2012,08,11.1,Y
IDCJAC0002,063254,2012,09,15.4,Y
IDCJAC0002,063254,2012,10,18.7,Y
IDCJAC0002,063254,2012,11,23.8,Y
IDCJAC0002,063254,2012,12,26.7,Y
IDCJAC0002,063254,2013,01,30.6,Y
IDCJAC0002,063254,2013,02,24.8,Y
IDCJAC0002,063254,2013,03,21.8,Y
IDCJAC0002,063254,2013,04,19.3,Y
IDCJAC0002,063254,2013,05,14.7,Y
IDCJAC0002,063254,2013,06,11.2,Y
IDCJAC0002,063254,2013,07,11.3,Y
IDCJAC0002,063254,2013,08,11.7,Y
IDCJAC0002,063254,2013,09,17.1,Y
IDCJAC0002,063254,2013,10,19.1,Y
IDCJAC0002,063254,2013,11,22.1,Y
IDCJAC0002,063254,2013,12,26.6,Y
IDCJAC0002,063254,2014,01,28.8,Y
IDCJAC0002,063254,2014,02,27.5,Y
IDCJAC0002,063254,2014,03,21.5,Y
IDCJAC0002,063254,2014,04,18.4,Y
IDCJAC0002,063254,2014,05,14.8,Y
IDCJAC0002,063254,2014,06,10.7,Y
IDCJAC0002,063254,2014,07,9.8,Y
IDCJAC0002,063254,2014,08,11.6,Y
IDCJAC0002,063254,2014,10,23.3,Y
IDCJAC0002,063254,2014,11,25.8,Y
IDCJAC0002,063254,2014,12,27.6,Y
IDCJAC0002,063254,2015,01,18.7,Y
IDCJAC0002,063254,2015,02,26.5,Y
IDCJAC0002,063254,2015,03,24.6,Y
IDCJAC0002,063254,2015,04,17.1,Y
IDCJAC0002,063254,2015,05,13.6,Y
IDCJAC0002,063254,2015,06,11.7,Y
IDCJAC0002,063254,2015,07,9.1,Y
IDCJAC0002,063254,2015,08,10.2,Y
IDCJAC0002,063254,2015,09,14.2,Y
IDCJAC0002,063254,2015,10,23.0,Y
IDCJAC0002,063254,2015,11,23.4,Y
IDCJAC0002,063254,2015,12,26.7,Y
IDCJAC0002,063254,2016,01,26.5,Y
IDCJAC0002,063254,2016,02,28.0,Y
IDCJAC0002,063254,2016,03,25.9,Y
IDCJAC0002,063254,2016,04,22.3,Y
IDCJAC0002,063254,2016,05,14.9,Y
IDCJAC0002,063254,2016,06,10.0,Y
IDCJAC0002,063254,2016,07,10.2,Y
IDCJAC0002,063254,2016,08,11.7,Y
IDCJAC0002,063254,2016,09,13.5,Y
IDCJAC0002,063254,2016,10,16.0,Y
IDCJAC0002,063254,2016,11,21.7,Y
IDCJAC0002,063254,2016,12,26.4,Y
IDCJAC0002,063254,2017,01,30.9,Y
IDCJAC0002,063254,2017,02,29.9,Y
IDCJAC0002,063254,2017,03,24.1,Y
IDCJAC0002,063254,2017,04,17.4,Y
IDCJAC0002,063254,2017,05,14.4,Y
IDCJAC0002,063254,2017,06,12.7,Y
IDCJAC0002,063254,2017,07,11.2,Y
IDCJAC0002,063254,2017,08,12.1,Y
IDCJAC0002,063254,2017,09,15.9,Y
IDCJAC0002,063254,2017,10,21.2,Y
IDCJAC0002,063254,2017,11,22.2,Y
IDCJAC0002,063254,2017,12,26.9,Y
IDCJAC0002,063254,2018,01,29.0,Y
IDCJAC0002,063254,2018,02,27.0,Y
IDCJAC0002,063254,2018,03,24.9,Y
IDCJAC0002,063254,2018,04,23.1,Y
IDCJAC0002,063254,2018,05,15.1,Y
IDCJAC0002,063254,2018,06,11.1,Y
IDCJAC0002,063254,2018,07,11.1,Y
IDCJAC0002,063254,2018,08,11.7,Y
IDCJAC0002,063254,2018,09,15.3,Y
IDCJAC0002,063254,2018,10,20.3,Y
IDCJAC0002,063254,2018,11,21.8,Y
IDCJAC0002,063254,2018,12,25.6,Y
IDCJAC0002,063254,2019,01,32.2,Y
